"Date","Close","Volume","Change","Ch(%)","Value(cr)","Trade","Open","High","Low"
"1728410400000","27.6","1676967","2","7.8125","4.557","1771","25.8","27.8","25.8"
"1728324000000","25.6","532740","0.7000000000000028","2.8112449799196906","1.3552","637","25.2","26","24.9"
"1728237600000","24.9","422432","-0.8000000000000007","-3.1128404669260727","1.0647","481","25.6","25.9","24.8"
"1728151200000","25.7","508646","0.3000000000000007","1.1811023622047274","1.3196999999999999","641","25.6","26.5","25.6"
"1727892000000","25.4","539892","0.3999999999999986","1.5999999999999945","1.3451","668","25","25.8","24.1"
"1727805600000","25","514631","-1.1000000000000014","-4.214559386973185","1.2962","543","26","26","24.8"
"1727719200000","26.1","690542","0.10000000000000142","0.3846153846153901","1.8189","742","26.1","26.8","25.9"
"1727632800000","26","623207","0.6999999999999993","2.7667984189723294","1.6088","748","25.5","26.3","25.4"
"1727546400000","25.3","728861","-0.8000000000000007","-3.065134099616861","1.8731000000000002","914","26.2","26.5","25"
"1727287200000","26.1","643123","-1.1999999999999993","-4.395604395604393","1.6791","806","27","27.4","24.9"
"1727200800000","27.3","906358","-1.8000000000000007","-6.18556701030928","2.5131","1150","29.6","29.6","27.1"
"1727114400000","29.1","751124","-0.8999999999999986","-2.9999999999999956","2.2143","812","30","30.3","28.8"
"1727028000000","30","604089","-0.6000000000000014","-1.9607843137254948","1.8199999999999998","649","30.9","30.9","29.8"
"1726941600000","30.6","838707","-0.1999999999999993","-0.649350649350647","2.5956","781","31.2","31.4","30.4"
"1726682400000","30.8","545516","0","0","1.6856000000000002","568","30.8","31.2","30.6"
"1726596000000","30.8","700604","-0.3999999999999986","-1.2820512820512775","2.1633","766","31.2","31.4","30.5"
"1726509600000","31.2","1273020","-0.40000000000000213","-1.2658227848101333","4.0408","1189","31.8","32.4","31"
"1726336800000","31.6","1158182","1.3000000000000007","4.290429042904292","3.6332","1144","30.8","32.2","30.2"
"1726077600000","30.3","853521","-0.3000000000000007","-0.9803921568627474","2.5983","817","30.5","30.9","30.1"
"1725991200000","30.6","996248","0.6000000000000014","2.000000000000005","3.0578","1103","30.3","31.3","30"
"1725904800000","30","802253","0.6000000000000014","2.040816326530617","2.3695","1059","31","31","28.9"
"1725818400000","29.4","600503","-1.1000000000000014","-3.6065573770491848","1.7971","926","30.3","30.7","29.1"
"1725732000000","30.5","653080","-0.6999999999999993","-2.2435897435897414","2.0296","703","31.5","31.7","30.3"
"1725472800000","31.2","468731","-0.10000000000000142","-0.31948881789137834","1.4661","644","32.3","32.3","30.9"
